date,index,food,clothing,health,communications,recreation,meanIbexValue,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007-01,4.49582396015192,4.52592132979774,4.54912879510447,4.65684190876259,4.62261709959181,4.61468477835668,9.57384325285121,1,0,0,0,0,0,0,0,0,0,0,0
2007-02,4.49650421332154,4.52429629964792,4.53715897537155,4.65953525763338,4.61939848199872,4.61833317251437,9.59888886472593,0,1,0,0,0,0,0,0,0,0,0,0
2007-03,4.50405619661658,4.52820274483148,4.57035097200981,4.62042326407589,4.63319382989431,4.62359932145646,9.56058546141794,0,0,1,0,0,0,0,0,0,0,0,0
2007-04,4.51776964237386,4.53388898398313,4.65966784092429,4.62417838015876,4.63118874838664,4.62912106014388,9.60447242957372,0,0,0,1,0,0,0,0,0,0,0,0
2007-05,4.52051602857214,4.53512318767606,4.67261385808511,4.62581559529862,4.62786079590779,4.62139780309274,9.60767026632684,0,0,0,0,1,0,0,0,0,0,0,0
2007-06,4.52235363476516,4.53693417087023,4.66633113454386,4.62687296763132,4.63210418722817,4.62226326341427,9.61380564820051,0,0,0,0,0,1,0,0,0,0,0,0
2007-07,4.51505946553714,4.53953239420721,4.54885377050919,4.6288183508938,4.62993108892955,4.63066247874903,9.60962084864134,0,0,0,0,0,0,1,0,0,0,0,0
2007-08,4.51642640015354,4.54272014911489,4.54227298381598,4.62916987563597,4.62861323771456,4.6436309951028,9.57774043860049,0,0,0,0,0,0,0,1,0,0,0,0
2007-09,4.51969943979895,4.55174831199202,4.57649289510122,4.62928702309547,4.62854485730454,4.62667724227252,9.56328129431335,0,0,0,0,0,0,0,0,1,0,0,0
2007-10,4.53257798754567,4.57098238645085,4.6626652098352,4.63155892032599,4.62758704027209,4.61876732449412,9.63021577096989,0,0,0,0,0,0,0,0,0,1,0,0
2007-11,4.53972458691302,4.5799036587402,4.69448058486715,4.6325324027439,4.62670660351862,4.61071478624344,9.65926588690847,0,0,0,0,0,0,0,0,0,0,1,0
2007-12,4.54390098147286,4.58842069312998,4.68451726715422,4.63353409987752,4.62509045342322,4.62476690973465,9.65073507125962,0,0,0,0,0,0,0,0,0,0,0,1
